workload,users,variant,endpoint,method,requests,failures,error_rate,time_to_first_byte_ms,median_response_time_ms,min_response_time_ms,max_response_time_ms,p90_response_time_ms,p95_response_time_ms,throughput_rps,total_response_bytes,avg_response_bytes,expected_items_per_request,received_items_avg,received_items_mismatch_count,time_to_first_item_ms,total_stream_time_ms,docker_cpu_avg_percent,docker_cpu_max_percent,docker_mem_avg_mib,docker_mem_max_mib,docker_net_rx_mib,docker_net_tx_mib,docker_samples,timestamp
easy,50,unary,/api/gateway/benchmark/unary,GET,55621,0,0.0,11.09,10.0,4.0626000009069685,292.5624000017706,18.0,22.0,233.446,297683592,5352.0,10.0,10.0,0,11.147624749654357,,40.499,80.46,362.61,719.0,306.616,578.69,154,2026-05-18T15:39:18.482951+00:00
easy,50,stream,/api/gateway/benchmark/stream,GET,54925,0,0.0,14.719,13.0,5.579700002272148,109.3935999997484,24.0,29.0,230.079,293958600,5352.0,10.0,10.0,0,14.774681533001417,,55.475,113.46,507.014,939.6,304.127,572.205,154,2026-05-18T15:55:51.881288+00:00
easy,50,stream_ndjson,/api/gateway/benchmark/stream-ndjson,GET,47417,0,0.0,17.251,15.0,3.0020999984117225,211.3100999995368,30.0,36.0,198.318,253254197,5341.0,10.0,10.0,0,28.385468150669126,50.63166268849754,65.944,124.07,508.997,941.4,293.732,524.521,150,2026-05-18T16:12:25.824253+00:00
easy,125,unary,/api/gateway/benchmark/unary,GET,117664,0,0.0,51.033,47.0,4.309399999328889,296.9124999981432,78.0,96.0,492.117,629737728,5352.0,10.0,10.0,0,51.08661592925942,,70.886,125.11,500.441,933.5,642.872,1226.425,150,2026-05-18T15:44:49.663468+00:00
easy,125,stream,/api/gateway/benchmark/stream,GET,78818,0,0.0,172.941,150.0,7.422700000461191,1429.6035999977903,270.0,340.0,329.367,421833936,5352.0,10.0,10.0,0,173.0003648646316,,71.586,130.23,509.219,941.7,430.298,820.16,148,2026-05-18T16:01:23.075762+00:00
easy,125,stream_ndjson,/api/gateway/benchmark/stream-ndjson,GET,57266,0,0.0,71.656,74.0,3.116500000032829,269.33439999993425,120.0,140.0,239.357,305857706,5341.0,10.0,10.0,0,161.9320039150577,313.6593362343937,64.797,124.13,510.907,941.9,350.952,638.962,154,2026-05-18T16:17:56.860403+00:00
easy,250,unary,/api/gateway/benchmark/unary,GET,133694,0,0.0,233.919,220.0,4.862199999479344,741.9492999979411,350.0,390.0,558.54,715530288,5352.0,10.0,10.0,0,233.9663387900644,,69.231,125.59,507.785,934.9,732.708,1382.828,150,2026-05-18T15:50:20.849475+00:00
easy,250,stream,/api/gateway/benchmark/stream,GET,95425,0,0.0,419.876,400.0,237.70090000107305,861.8059000000358,510.0,550.0,398.983,510714600,5352.0,10.0,10.0,0,419.928931151172,,69.693,125.4,512.537,942.0,518.036,1010.895,156,2026-05-18T16:06:54.537767+00:00
easy,250,stream_ndjson,/api/gateway/benchmark/stream-ndjson,GET,64766,0,0.0,176.632,190,3.1551000010949792,491.9977999998082,280,310,271.107,345915206,5341.0,10,10.0,0,379.5556834403872,675.2653457879106,62.68,115.6,508.249,943.9,396.709,725.174,160,2026-05-19T18:38:56.335541+00:00
medium,50,unary,/api/gateway/benchmark/unary,GET,9937,0,0.0,989.767,980.0,288.5484999969776,2000.6068000002413,1200.0,1300.0,41.537,20469256111,2059903.0,500.0,500.0,0,993.8544825098012,,121.919,204.69,647.376,1097.728,19274.712,38623.81,152,2026-05-18T16:25:34.825403+00:00
